,Unnamed: 0,职位名,链接,公司,工作地点,薪资,经验,学历,地区,月薪,大专,本科,硕士,高中
0,3,技术总监（灵云公有云平台/python/php）,http://jobs.51job.com/beijing/85275616.html?s=01&t=0,北京捷通华声科技股份有限公司,北京,2.5-5万/月,5-7年经验,本科,6,37500.0,0,1,0,0
1,5,Python高级工程师,http://jobs.51job.com/beijing-hdq/64251436.html?s=01&t=0,精灵在线网络技术（北京）有限公司,北京-海淀区,2.5-3万/月,2年经验,本科,6,27500.0,0,1,0,0
2,7,资深Python开发工程师,http://jobs.51job.com/tianjin/92012916.html?s=01&t=0,南大通用,天津,0.6-1万/月,3-4年经验,本科,15,8000.0,0,1,0,0
3,12,python开发工程师,http://jobs.51job.com/shanghai-pdxq/87163370.html?s=01&t=0,上海乐野网络科技有限公司,上海-浦东新区,0.7-1.5万/月,2年经验,本科,0,11000.0,0,1,0,0
4,13,Python软件工程师,http://jobs.51job.com/suzhou-gyyq/68043431.html?s=01&t=0,苏州思佳达信息科技有限公司,苏州-工业园区,3.5-7千/月,1年经验,大专,36,5250.0,1,0,0,0
5,15,Python 后台工程师,http://jobs.51job.com/guangzhou-thq/90990437.html?s=01&t=0,广州远云网络科技有限公司,广州-天河区,0.8-1.2万/月,2年经验,本科,19,10000.0,0,1,0,0
6,17,Python开发工程师（急）,http://jobs.51job.com/shanghai/92005834.html?s=01&t=0,上海爱福窝云技术有限公司,上海,1.2-2.5万/月,2年经验,本科,0,18500.0,0,1,0,0
7,18,Python 开发工程师,http://jobs.51job.com/beijing-hdq/75027638.html?s=01&t=0,北京华云星地通科技有限公司,北京-海淀区,0.8-1.5万/月,2年经验,本科,6,11500.0,0,1,0,0
8,20,Python开发,http://jobs.51job.com/shanghai-ypq/79987545.html?s=01&t=0,上海骞云信息科技有限公司,上海-杨浦区,1.2-2.4万/月,2年经验,本科,0,18000.0,0,1,0,0
9,21,Python BI 高级开发工程师,http://jobs.51job.com/beijing/90203503.html?s=01&t=0,联众游戏,北京,1.5-2万/月,2年经验,本科,6,17500.0,0,1,0,0
10,22,python程序员,http://jobs.51job.com/jinan-gxq/83608224.html?s=01&t=0,山东远思信息科技有限公司,济南-高新区,6-8千/月,1年经验,本科,27,7000.0,0,1,0,0
11,23,Python软件工程师,http://jobs.51job.com/suzhou/85561335.html?s=01&t=0,苏州工业园区若态科技有限公司,苏州,0.8-1万/月,3-4年经验,本科,36,9000.0,0,1,0,0
12,26,python软件工程师,http://jobs.51job.com/shenzhen-nsq/86525742.html?s=01&t=0,深圳市丰巨泰科电子有限公司,深圳-南山区,2-2.5万/月,3-4年经验,本科,30,22500.0,0,1,0,0
13,27,Python工程师/软件工程师,http://jobs.51job.com/shenzhen/69387810.html?s=01&t=0,深圳市星商电子商务有限公司,深圳,4-8千/月,2年经验,本科,30,6000.0,0,1,0,0
14,29,Python开发工程师,http://jobs.51job.com/shanghai-jdq/91823195.html?s=01&t=0,上海东融投资管理有限公司,上海-嘉定区,1-1.5万/月,2年经验,本科,0,12500.0,0,1,0,0
15,30,C++/Python研发工程师,http://jobs.51job.com/beijing-cyq/86600645.html?s=01&t=0,奔讯电子科技（北京）有限公司,北京-朝阳区,0.8-1万/月,2年经验,大专,6,9000.0,1,0,0,0
16,31,python 高级工程师,http://jobs.51job.com/shanghai-jaq/67003798.html?s=01&t=0,上海网元电子商务有限公司,上海-静安区,1-1.5万/月,2年经验,本科,0,12500.0,0,1,0,0
17,32,Python软件工程师,http://jobs.51job.com/beijing-hdq/68200863.html?s=01&t=0,三和智控（北京）系统集成有限公司,北京-海淀区,6-8千/月,2年经验,本科,6,7000.0,0,1,0,0
18,33,python开发工程师  薪资10000以上,http://jobs.51job.com/hefei-lyq/91992043.html?s=01&t=0,安徽丽鑫智能科技有限公司,合肥-庐阳区,1-1.5万/月,3-4年经验,本科,11,12500.0,0,1,0,0
19,35,Python,http://jobs.51job.com/shenzhen-nsq/91976140.html?s=01&t=0,深圳市乐易网络股份有限公司,深圳-南山区,1.5-3万/月,3-4年经验,本科,30,22500.0,0,1,0,0
20,36,Python高级开发工程师,http://jobs.51job.com/beijing-hdq/91976512.html?s=01&t=0,北京文泽智远信息技术有限公司,北京-海淀区,1-1.5万/月,3-4年经验,本科,6,12500.0,0,1,0,0
21,37,python开发工程师(Odoo),http://jobs.51job.com/shanghai-xhq/62630612.html?s=01&t=0,造源信息科技（上海）有限公司,上海-徐汇区,0.8-1.6万/月,3-4年经验,大专,0,12000.000000000002,1,0,0,0
22,38,Python大数据开发/程序员,http://jobs.51job.com/jinshuiqu/91976301.html?s=01&t=0,北京奇酷方舟信息技术有限公司,郑州-金水区,6-8千/月,无工作经验,大专,39,7000.0,1,0,0,0
23,39,python开发工程师,http://jobs.51job.com/guangzhou-thq/76038501.html?s=01&t=0,广州极飞科技有限公司,广州-天河区,0.8-1.2万/月,1年经验,大专,19,10000.0,1,0,0,0
24,41,后端开发工程师（python、Java）学徒,http://jobs.51job.com/hangzhou/90922379.html?s=01&t=0,杭州码圈网络科技有限公司,杭州,3-4.5千/月,1年经验,大专,24,3750.0,1,0,0,0
25,42,Python开发工程师,http://jobs.51job.com/shenzhen/91936733.html?s=01&t=0,深圳兆亮照明有限公司,深圳,1.5-2万/月,3-4年经验,本科,30,17500.0,0,1,0,0
26,45,python开发工程师,http://jobs.51job.com/beijing-ftq/79254558.html?s=01&t=0,尚正（北京）信息技术有限公司,北京-丰台区,0.8-2万/月,3-4年经验,本科,6,14000.0,0,1,0,0
27,46,Python开发工程师,http://jobs.51job.com/beijing-hdq/90817894.html?s=01&t=0,北京牧游科技有限公司,北京-海淀区,1-1.5万/月,2年经验,大专,6,12500.0,1,0,0,0
28,47,Python软件开发工程师,http://jobs.51job.com/guangzhou/85845717.html?s=01&t=0,深圳市商沃科技发展有限公司,广州,0.8-1万/月,1年经验,本科,19,9000.0,0,1,0,0
29,48,运维自动化开发工程师（python开发）,http://jobs.51job.com/shanghai-pdxq/69742910.html?s=01&t=0,上海方付通商务服务有限公司,上海-浦东新区,1-2万/月,3-4年经验,大专,0,15000.0,1,0,0,0
