,R,F,M,·ÖÀà
0,27,6,232.61,0
1,3,5,1507.11,2
2,4,16,817.62,1
3,3,11,232.81,3
4,14,7,1913.05,2
5,19,6,220.07,0
6,5,2,615.83,3
7,26,2,1059.66,0
8,21,9,304.82,0
9,2,21,1227.96,1
10,15,2,521.02,0
11,26,3,438.22,0
12,17,11,1744.55,4
13,30,16,1957.44,4
14,5,7,1713.79,2
15,4,21,1768.11,1
17,16,3,950.36,0
18,4,1,754.93,3
19,27,1,294.23,0
20,5,1,195.3,3
21,17,3,1845.34,2
22,12,13,1434.29,2
23,21,3,275.85,0
24,18,5,449.76,0
25,30,21,1628.68,4
26,4,2,1795.41,2
27,7,12,1786.24,2
28,18,1,679.44,0
30,4,22,873.68,1
31,16,1,654.69,0
32,3,2,230.37,3
33,14,11,1165.68,2
34,13,21,1276.31,1
35,10,16,334.21,1
36,5,5,759.19,3
37,1,1,1383.39,2
39,19,4,154.65,0
40,9,1,501.38,3
41,1,24,1721.93,1
42,14,1,107.18,3
43,10,1,973.36,3
44,10,17,764.55,1
45,7,6,1251.4,2
46,23,11,923.28,4
47,15,1,1011.18,0
48,1,15,1847.61,2
49,3,21,1669.46,1
50,10,3,1758.05,2
51,30,8,1865.99,4
52,28,8,1791.44,4
53,4,15,874.6,1
54,24,5,557.17,0
55,16,2,1025.35,0
56,7,2,1261.47,2
58,4,2,1266.02,2
59,21,11,626.37,0
60,6,4,1105.63,2
61,26,21,1465.58,4
62,8,21,630.74,1
63,26,2,1546.45,4
64,14,11,1577.91,2
65,17,6,170.16,0
66,20,5,1558.75,4
67,5,5,1272.06,2
68,26,3,111.02,0
69,15,7,1578.37,2
70,26,24,720.26,1
71,25,16,873.22,4
72,4,7,935.19,3
73,23,11,723.67,0
74,15,9,1833.01,2
75,6,3,681.26,3
77,15,17,560.57,1
78,9,18,1761.19,1
79,8,7,1707.25,2
80,28,2,227.14,0
81,22,3,223.57,0
82,8,6,940.46,3
83,23,6,256.3,0
84,5,1,312.44,3
85,15,14,929.52,1
86,27,15,1296.66,4
87,22,11,591.62,0
88,2,2,755.72,3
89,18,17,1424.07,1
91,3,7,414.24,3
92,1,14,576.56,3
93,12,22,1037.14,1
94,26,5,1200.17,4
95,1,3,1727.36,2
96,13,16,503.71,1
97,19,7,703.36,0
98,12,17,1583.05,1
99,3,18,602.9,1
100,5,1,798.41,3
101,25,7,1202.09,4
103,28,21,1222.34,4
104,25,19,593.17,1
105,8,6,94.75,3
106,14,1,89.7,3
107,21,15,1061.56,4
108,29,15,978.85,4
109,14,3,155.9,3
110,20,5,938.15,0
111,3,24,1477.97,1
112,10,6,1976.23,2
113,8,5,181.17,3
114,17,4,499.65,0
116,13,11,267.1,3
117,23,1,137.62,0
119,20,22,1311.2,1
120,22,13,496.61,0
121,21,6,1921.8,4
122,14,11,304.1,3
123,26,1,468.09,0
124,27,9,432.67,0
125,30,1,368.35,0
126,11,4,759.69,3
127,26,3,1110.81,4
128,28,1,53.0,0
129,39,11,1314.21,4
130,11,6,1895.95,2
131,23,1,417.23,0
132,3,2,679.58,3
133,5,1,533.97,3
134,24,8,1134.64,4
135,25,6,825.39,0
136,10,6,165.39,3
137,29,9,1234.64,4
139,23,1,89.0,0
140,4,2,1557.88,2
141,3,8,1328.01,2
142,15,7,304.65,0
143,17,23,1505.55,1
144,16,7,711.1,0
145,16,1,539.76,0
146,5,1,65.83,3
147,16,3,776.21,0
148,22,18,1820.61,4
149,19,4,1997.0,2
150,4,22,1846.69,1
151,23,7,1252.41,4
152,7,13,987.17,1
153,3,6,1130.03,2
154,18,1,148.32,0
155,28,1,135.57,0
156,6,2,1641.79,2
157,7,2,242.83,3
158,21,8,1803.02,4
159,12,12,1557.95,2
160,25,4,1494.81,4
161,26,13,1280.06,4
162,28,1,160.0,0
163,22,9,440.12,0
164,14,1,746.95,3
165,12,2,351.09,3
166,6,2,556.91,3
167,7,3,957.83,3
168,16,16,1212.37,1
169,11,2,946.65,3
170,16,13,1442.68,4
171,5,12,1612.7,2
172,0,21,1281.68,1
173,9,13,1928.8,2
174,24,7,335.35,0
175,3,8,1589.35,2
176,20,11,797.72,0
177,17,1,793.47,0
178,13,16,569.47,1
179,10,3,149.5,3
180,17,21,515.38,1
181,8,4,187.76,3
182,20,7,1441.83,4
183,27,1,121.61,0
184,25,11,934.58,4
185,16,15,591.06,1
186,15,4,951.31,0
187,12,11,914.0,3
188,3,22,1058.0,1
189,9,2,1111.51,2
190,17,9,458.52,0
191,27,18,927.59,4
193,17,1,946.53,0
194,10,1,1474.41,2
195,16,3,1661.03,2
196,0,9,1465.18,2
197,17,3,1813.45,2
198,5,7,772.54,3
199,4,1,172.82,3
200,14,4,552.37,3
201,12,8,946.28,3
202,26,2,651.99,0
203,6,9,857.79,3
204,7,4,1016.55,3
205,5,6,1766.44,2
206,25,3,908.53,0
207,28,2,403.75,0
208,25,4,1270.75,4
209,13,3,1157.92,2
210,13,1,497.09,3
211,2,1,216.78,3
212,23,16,1454.58,4
213,2,17,1027.58,1
214,24,12,722.09,0
215,15,7,282.19,0
216,11,4,106.96,3
217,18,1,999.75,0
218,24,14,1139.33,4
219,24,5,836.72,0
220,3,2,1678.54,2
221,3,17,1337.34,1
222,1,4,1335.77,2
223,11,2,810.2,3
224,29,11,943.9,4
226,6,9,984.12,3
227,6,5,1413.55,2
228,1,6,381.95,3
229,6,14,788.22,1
230,29,1,80.8,0
231,21,1,611.13,0
232,24,4,1766.35,4
233,0,2,1516.76,2
234,9,6,1925.2,2
235,17,1,344.23,0
237,5,2,1257.59,2
238,7,3,1095.09,2
239,2,1,123.76,3
240,3,2,696.82,3
241,26,2,1487.35,4
242,19,3,1278.43,4
243,28,14,627.97,0
244,12,1,95.0,3
245,14,4,1827.01,2
246,10,6,754.05,3
247,19,2,922.93,0
248,12,12,257.4,3
249,1,14,676.34,3
250,3,19,984.32,1
251,27,32,1914.06,1
252,13,4,1953.81,2
253,1,4,768.02,3
255,42,1,1054.24,4
256,21,11,298.34,0
257,17,5,841.04,0
258,8,9,1757.87,2
259,22,11,1010.7,4
260,13,6,948.83,3
261,12,24,852.95,1
262,7,7,1532.72,2
263,11,6,1891.29,2
264,10,21,1900.33,1
265,16,13,598.84,0
266,8,21,1622.91,1
267,21,7,536.53,0
269,18,8,1751.33,4
270,26,1,1146.43,0
271,24,6,654.8,0
272,4,3,1599.58,2
273,14,16,1317.4,1
274,16,18,1665.03,1
275,11,17,440.21,1
276,16,3,1689.94,2
277,3,12,1163.78,2
278,11,6,664.23,3
279,10,4,1658.4,2
280,3,8,1293.56,2
282,25,2,1265.24,4
283,20,6,1169.96,4
284,25,3,735.19,0
285,5,6,1749.68,2
286,17,15,483.51,0
287,23,22,1436.67,1
288,16,2,1439.93,2
289,16,1,252.12,0
290,7,14,848.68,1
291,30,9,252.98,0
292,5,2,464.9,3
293,3,2,50.14,3
294,5,5,1381.21,2
295,23,1,1606.04,4
296,8,11,309.45,3
298,12,8,434.36,3
300,16,18,1391.11,1
301,12,24,1292.14,1
302,3,6,312.33,3
303,17,24,845.68,1
304,16,6,1993.47,2
305,22,2,1414.29,4
306,2,11,472.46,3
307,10,1,1255.44,2
308,7,12,1256.98,2
309,15,9,904.91,0
310,8,9,237.52,3
311,7,11,1143.16,2
312,20,7,805.15,0
313,15,4,1259.42,2
314,11,7,247.64,3
315,3,1,1391.51,2
316,12,18,866.59,1
318,25,9,1535.08,4
319,20,13,911.15,4
320,20,5,1001.84,0
321,10,1,91.93,3
322,15,7,1172.57,2
323,9,18,1882.22,1
324,1,19,528.68,1
325,21,11,1943.65,4
326,28,7,570.73,0
327,5,6,909.57,3
328,12,8,1406.95,2
329,10,11,1060.91,2
330,4,1,90.67,3
331,17,15,1757.5,4
333,1,6,1665.49,2
334,20,17,553.53,1
335,24,18,1568.74,4
336,24,4,993.88,0
337,9,17,511.39,1
339,11,16,1994.53,2
340,6,13,399.26,3
341,20,7,211.93,0
342,16,2,1466.19,2
343,29,2,1185.26,4
344,22,16,1400.35,4
345,11,1,433.0,3
346,10,4,238.6,3
347,22,3,1393.92,4
348,7,3,720.16,3
349,26,16,1810.43,4
350,24,6,230.28,0
351,4,4,772.84,3
352,26,1,339.03,0
353,5,19,1118.51,1
354,1,6,328.31,3
355,21,17,1385.52,4
357,8,18,1177.91,1
358,26,12,879.69,4
359,11,3,446.58,3
360,16,1,1437.14,2
361,13,21,695.48,1
362,27,16,1715.16,4
363,19,1,1048.5,0
364,2,17,1545.94,1
365,22,1,656.28,0
366,15,11,620.08,0
367,16,12,1111.76,4
368,26,5,1440.3,4
369,30,11,173.89,0
370,29,9,365.41,0
371,29,19,1495.14,4
372,7,24,1456.31,1
373,13,13,1327.45,1
374,24,1,1445.07,4
375,20,2,67.47,0
376,15,14,759.95,1
377,8,11,268.31,3
379,8,22,1970.75,1
380,26,2,335.05,0
381,13,19,419.22,1
382,7,12,494.74,3
383,10,11,1535.51,2
384,9,1,571.11,3
385,12,1,1491.21,2
386,12,3,1385.53,2
387,1,11,1030.93,2
388,4,4,978.71,3
389,15,1,516.33,0
390,6,24,543.75,1
391,5,4,356.23,3
392,10,18,1789.67,1
393,24,16,1978.79,4
394,16,5,434.48,0
395,22,23,1458.64,1
396,15,1,854.1,0
397,18,13,1879.27,4
398,8,24,1901.09,1
399,39,2,1521.44,4
400,14,13,1956.9,2
401,12,14,690.06,1
402,1,18,1157.17,1
403,17,6,600.46,0
404,1,21,1108.49,1
405,25,23,512.01,1
406,25,11,1510.08,4
407,27,21,1255.12,4
408,3,5,1676.56,2
409,1,17,1974.68,2
410,28,4,418.22,0
411,1,19,1577.28,1
412,5,24,1416.82,1
413,23,9,1300.04,4
414,12,23,1206.86,1
415,11,16,1699.1,1
416,10,19,1031.1,1
417,8,9,414.99,3
419,18,4,1254.34,2
420,7,1,1103.45,2
421,8,14,1802.11,2
422,0,2,387.24,3
423,19,22,1204.62,1
424,27,19,1058.39,4
425,22,1,696.37,0
426,12,7,1055.71,2
427,2,14,1649.81,2
428,27,19,1293.73,4
429,20,16,1517.39,4
430,28,3,1497.35,4
431,4,9,399.02,3
432,6,1,1598.45,2
433,0,18,1300.99,1
434,18,15,1008.74,1
435,13,8,1819.96,2
436,21,18,630.47,1
437,6,5,1478.86,2
438,16,21,1562.08,1
439,29,9,1171.59,4
440,8,21,1642.86,1
441,11,19,1373.12,1
442,8,5,180.07,3
443,2,18,996.17,1
444,7,1,45.23,3
445,29,11,1049.44,4
446,16,8,220.03,0
447,19,7,393.14,0
448,14,17,1963.58,1
449,9,6,147.12,3
450,6,7,1279.7,2
451,24,1,633.17,0
452,12,1,1562.66,2
453,14,21,1354.59,1
454,8,1,911.62,3
455,25,4,1725.82,4
456,4,4,573.16,3
457,14,13,1331.53,1
458,13,14,1688.13,2
459,13,4,180.0,3
460,4,22,636.38,1
461,10,8,830.24,3
462,20,22,641.43,1
463,4,1,790.84,3
464,17,22,686.0,1
465,29,18,839.53,4
466,7,22,1862.15,1
467,4,2,1645.01,2
468,26,13,678.39,0
469,1,15,1287.7,1
470,24,12,1138.13,4
471,25,21,1081.9,4
472,1,11,432.32,3
473,18,13,437.33,0
474,24,23,852.05,1
475,18,5,1686.86,2
476,39,15,1420.24,4
477,27,11,869.55,4
478,25,8,1919.58,4
479,12,22,1451.94,1
480,2,1,1824.64,2
481,7,11,1877.28,2
482,6,24,1717.3,1
484,13,2,111.17,3
485,21,1,621.61,0
486,16,1,1663.79,2
487,7,7,1247.65,2
488,5,1,198.72,3
489,8,1,927.95,3
490,33,1,117.62,0
491,6,13,1674.32,2
492,1,21,734.98,1
493,5,11,1387.5,2
494,8,18,488.5,1
495,7,6,92.63,3
496,6,7,1808.21,2
497,19,21,910.94,1
498,14,6,1564.15,2
499,25,14,1894.13,4
500,10,12,751.38,3
501,4,11,1813.51,2
502,4,6,1367.15,2
503,15,5,1264.09,2
504,7,1,685.55,3
505,4,4,1296.34,2
506,14,7,1300.12,2
507,38,15,1728.68,4
508,11,1,487.28,3
509,4,12,1313.31,2
510,25,17,1694.35,4
511,5,2,1931.97,2
512,27,22,1372.36,4
513,26,18,1731.94,4
514,19,1,1496.83,2
515,22,15,1798.79,4
516,11,6,803.94,3
517,24,11,1505.96,4
518,17,1,120.52,0
519,18,7,936.77,0
520,23,7,1824.41,4
521,17,5,177.08,0
522,1,19,867.99,1
523,21,17,756.88,1
525,38,2,1947.54,4
526,19,5,549.35,0
527,26,8,1680.69,4
528,30,12,555.2,0
529,7,6,334.12,3
530,17,19,925.89,1
531,27,6,249.2,0
532,12,14,666.3,1
533,27,17,1955.27,4
534,8,11,363.62,3
535,4,8,1728.0,2
536,20,9,197.43,0
537,28,24,973.93,1
538,27,12,1051.75,4
539,12,19,1315.32,1
540,4,13,1628.32,2
541,13,12,1452.1,2
542,16,21,1591.59,1
543,10,1,487.24,3
544,36,18,839.52,4
545,8,11,1729.52,2
546,13,3,1679.0,2
547,2,18,780.88,1
548,9,5,498.99,3
549,26,11,1932.64,4
550,27,1,98.39,0
551,5,6,239.36,3
552,23,13,866.19,4
553,27,4,1469.94,4
554,26,7,1273.07,4
555,24,19,1617.51,4
556,24,9,334.68,0
557,7,12,1288.1,2
558,42,2,1784.51,4
559,16,7,1234.33,2
560,21,21,1730.02,1
561,13,3,1512.12,2
562,9,4,93.0,3
563,26,3,1767.68,4
564,24,11,1640.19,4
565,5,6,750.26,3
566,6,12,299.66,3
567,19,14,1735.09,4
568,26,11,1628.49,4
569,20,4,1155.02,0
570,22,8,1923.31,4
571,2,18,391.1,1
572,13,14,411.61,3
573,21,4,1631.06,4
574,21,18,1359.47,4
575,26,3,1083.38,0
576,23,16,1320.69,4
577,13,21,564.33,1
578,13,3,1936.93,2
579,12,21,766.06,1
580,23,8,1090.77,4
581,25,9,1932.46,4
582,27,11,747.42,0
583,14,12,377.47,3
584,13,6,141.28,3
585,8,22,547.14,1
586,23,3,344.95,0
587,17,7,999.24,0
588,13,12,745.11,3
