,user_id,age,gender,occupation,zip_code,年龄段,foo
0,1,24,M,technician,85711,青年,tec
1,2,53,F,other,94043,中年,oth
2,3,23,M,writer,32067,青年,wri
3,4,24,M,technician,43537,青年,tec
4,5,33,F,other,15213,中年,oth
5,6,42,M,executive,98101,中年,exe
6,7,57,M,administrator,91344,老年,adm
7,8,36,M,administrator,05201,中年,adm
8,9,29,M,student,01002,青年,stu
9,10,53,M,lawyer,90703,中年,law
10,11,39,F,other,30329,中年,oth
11,12,28,F,other,06405,青年,oth
12,13,47,M,educator,29206,中年,edu
13,14,45,M,scientist,55106,中年,sci
14,15,49,F,educator,97301,中年,edu
15,16,21,M,entertainment,10309,青年,ent
16,17,30,M,programmer,06355,中年,pro
17,18,35,F,other,37212,中年,oth
18,19,40,M,librarian,02138,中年,lib
19,20,42,F,homemaker,95660,中年,hom
20,21,26,M,writer,30068,青年,wri
21,22,25,M,writer,40206,青年,wri
22,23,30,F,artist,48197,中年,art
23,24,21,F,artist,94533,青年,art
24,25,39,M,engineer,55107,中年,eng
25,26,49,M,engineer,21044,中年,eng
26,27,40,F,librarian,30030,中年,lib
27,28,32,M,writer,55369,中年,wri
28,29,41,M,programmer,94043,中年,pro
29,30,7,M,student,55436,儿童,stu
30,31,24,M,artist,10003,青年,art
31,32,28,F,student,78741,青年,stu
32,33,23,M,student,27510,青年,stu
33,34,38,F,administrator,42141,中年,adm
34,35,20,F,homemaker,42459,青年,hom
35,36,19,F,student,93117,青年,stu
36,37,23,M,student,55105,青年,stu
37,38,28,F,other,54467,青年,oth
38,39,41,M,entertainment,01040,中年,ent
39,40,38,M,scientist,27514,中年,sci
40,41,33,M,engineer,80525,中年,eng
41,42,30,M,administrator,17870,中年,adm
42,43,29,F,librarian,20854,青年,lib
43,44,26,M,technician,46260,青年,tec
44,45,29,M,programmer,50233,青年,pro
45,46,27,F,marketing,46538,青年,mar
46,47,53,M,marketing,07102,中年,mar
47,48,45,M,administrator,12550,中年,adm
48,49,23,F,student,76111,青年,stu
49,50,21,M,writer,52245,青年,wri
50,51,28,M,educator,16509,青年,edu
51,52,18,F,student,55105,青年,stu
52,53,26,M,programmer,55414,青年,pro
53,54,22,M,executive,66315,青年,exe
54,55,37,M,programmer,01331,中年,pro
55,56,25,M,librarian,46260,青年,lib
56,57,16,M,none,84010,青年,non
57,58,27,M,programmer,52246,青年,pro
58,59,49,M,educator,08403,中年,edu
59,60,50,M,healthcare,06472,中年,hea
60,61,36,M,engineer,30040,中年,eng
61,62,27,F,administrator,97214,青年,adm
62,63,31,M,marketing,75240,中年,mar
63,64,32,M,educator,43202,中年,edu
64,65,51,F,educator,48118,中年,edu
65,66,23,M,student,80521,青年,stu
66,67,17,M,student,60402,青年,stu
67,68,19,M,student,22904,青年,stu
68,69,24,M,engineer,55337,青年,eng
69,70,27,M,engineer,60067,青年,eng
70,71,39,M,scientist,98034,中年,sci
71,72,48,F,administrator,73034,中年,adm
72,73,24,M,student,41850,青年,stu
73,74,39,M,scientist,T8H1N,中年,sci
74,75,24,M,entertainment,08816,青年,ent
75,76,20,M,student,02215,青年,stu
76,77,30,M,technician,29379,中年,tec
77,78,26,M,administrator,61801,青年,adm
78,79,39,F,administrator,03755,中年,adm
